Ort,Ort-Art,Insgesamt,Pkw,Lkw,Zugmaschinen,Kraftraeder
Flensburg,Kreisfreie Stadt,50126,43822,2434,664,2888
Kiel,Landeshauptstadt,128350,110156,7673,907,8190
Lübeck,Hansestadt,115539,98480,6953,1469,7841
Neumünster,Kreisfreie Stadt,49865,41950,3446,755,3317
Braunschweig,Kreisfreie Stadt,164935,144741,7522,1391,10464
Salzgitter,Kreisfreie Stadt,63061,54951,2553,907,4265
Wolfsburg,Kreisfreie Stadt,148726,137862,3663,995,5687
Hannover,Landeshauptstadt,250995,217613,13733,1442,15546
Delmenhorst,Kreisfreie Stadt,47796,41886,2128,543,3029
Emden,Kreisfreie Stadt,28543,24360,1372,467,2168
Oldenburg (Oldenburg),Kreisfreie Stadt,99842,87801,4848,700,6000
Osnabrück,Kreisfreie Stadt,97144,83704,5718,1451,5589
Wilhelmshaven,Kreisfreie Stadt,46303,39896,2416,376,3345
Bremen,Kreisfreie Stadt,279614,242480,15033,2912,17082
Bremerhaven,Kreisfreie Stadt,57557,50034,3449,525,3185
Düsseldorf,Kreisfreie Stadt,356351,310614,16800,1612,22611
Duisburg,Kreisfreie Stadt,263632,229610,12272,2325,18177
Essen,Kreisfreie Stadt,330129,287883,16765,1943,21601
Krefeld,Kreisfreie Stadt,134982,118372,6039,1079,8884
Mönchengladbach,Kreisfreie Stadt,158305,137330,8647,1491,10094
Mülheim an der Ruhr,Kreisfreie Stadt,106302,93005,4784,671,7435
Oberhausen,Kreisfreie Stadt,125721,110253,5215,585,9038
Remscheid,Kreisfreie Stadt,71398,61345,3687,746,5292
Solingen,Kreisfreie Stadt,107105,92587,4964,636,8526
Wuppertal,Kreisfreie Stadt,199730,171706,9001,1495,16504
Bonn,Kreisfreie Stadt,263072,174990,74905,836,11049
Köln,Kreisfreie Stadt,559093,482847,31012,3132,38700
Leverkusen,Kreisfreie Stadt,102748,89605,4368,806,7346
Aachen,Kreisfreie Stadt,130246,112882,5977,1148,9325
Bottrop,Kreisfreie Stadt,78027,67632,3171,786,6145
Gelsenkirchen,Kreisfreie Stadt,139528,121583,6976,999,9158
Münster,Kreisfreie Stadt,168450,145681,8788,2496,10498
Bielefeld,Kreisfreie Stadt,193730,169108,10043,1885,11673
Bochum,Kreisfreie Stadt,228126,197114,13429,1151,15491
Dortmund,Kreisfreie Stadt,327403,286461,14508,2242,22826
Hagen,Kreisfreie Stadt,113219,97430,5245,1245,8636
Hamm,Kreisfreie Stadt,110465,95930,5117,1808,6986
Herne,Kreisfreie Stadt,87756,76627,3878,317,6406
Darmstadt,Kreisfreie Stadt,83278,72744,3901,660,5516
Frankfurt am Main,Kreisfreie Stadt,385701,336413,23480,1762,21396
Offenbach am Main,Kreisfreie Stadt,64033,55974,3523,452,3767
Wiesbaden,Landeshauptstadt,169849,145221,8901,1838,10718
Kassel,Kreisfreie Stadt,103534,89343,6264,1044,6247
Koblenz,Kreisfreie Stadt,72869,62171,4608,846,4609
Trier,Kreisfreie Stadt,61281,51908,3425,800,4688
Frankenthal (Pfalz),Kreisfreie Stadt,30837,26661,1410,555,2050
Kaiserslautern,Kreisfreie Stadt,56110,48939,2765,439,3552
Landau in der Pfalz,Kreisfreie Stadt,32267,27240,1626,899,2320
Ludwigshafen am Rhein,Kreisfreie Stadt,95023,82216,4801,780,6416
Mainz,Kreisfreie Stadt,115012,99401,5442,1060,7309
Neustadt an der Weinstraﬂe,Kreisfreie Stadt,38759,32476,2146,1147,2805
Pirmasens,Kreisfreie Stadt,26521,22746,1488,394,1696
Speyer,Kreisfreie Stadt,33983,29060,1684,304,2592
Worms,Kreisfreie Stadt,53802,45369,2974,1315,3897
Zweibrücken,Kreisfreie Stadt,24678,20836,1193,499,1891
Stuttgart,Landeshauptstadt,347839,301793,16417,3035,24664
München,Landeshauptstadt,838726,725690,38210,4681,63277
Saarbrücken,Landeshauptstadt,110739,94883,6395,814,7819
Brandenburg an der Havel,Kreisfreie Stadt,40025,34241,2829,388,2285
Cottbus,Kreisfreie Stadt,56971,48530,4137,709,3094
Frankfurt (Oder),Kreisfreie Stadt,33743,28119,3084,418,1843
Potsdam,Kreisfreie Stadt,86761,74974,5515,476,5222
Kreisfreie Stadt Greifswald,Hansestadt,
Kreisfreie Stadt Neubrandenburg,Stadt,
Kreisfreie Stadt Rostock,Hansestadt,96564,84459,5752,1061,4696
Kreisfreie Stadt Schwerin,Landeshauptstadt,50214,43660,3271,282,2040
Kreisfreie Stadt Stralsund,Hansestadt,
Kreisfreie Stadt Wismar,Hansestadt,
Chemnitz,Kreisfreie Stadt,
Plauen,Kreisfreie Stadt,
Zwickau,Kreisfreie Stadt,
Dresden,Kreisfreie Stadt,
Görlitz,Kreisfreie Stadt,
Hoyerswerda,Kreisfreie Stadt,
Leipzig,Kreisfreie Stadt,
Chemnitz,Stadt,145486,125328,9934,1247,7966
Dresden,Stadt,262365,226278,17932,1196,14914
Leipzig,Stadt,259804,227314,15804,1316,13659
Dessau-Roﬂlau,Kreisfreie Stadt,48906,42131,2999,584,2906
Halle (Saale),Kreisfreie Stadt,107343,93915,6735,619,5436
Magdeburg,Kreisfreie Stadt,127101,111076,8330,815,5734
Dessau,Kreisfreie Stadt,
Halle (Saale),Kreisfreie Stadt,
Magdeburg,Kreisfreie Stadt,
Erfurt,Kreisfreie Stadt,114709,96901,8839,1201,6847
Gera,Kreisfreie Stadt,52713,45760,3202,754,2684
Jena,Kreisfreie Stadt,51681,45012,2933,456,2958
Suhl,Kreisfreie Stadt,24123,20424,1569,352,1615
Weimar,Kreisfreie Stadt,33513,29074,1960,268,2013
Eisenach,Kreisfreie Stadt,25496,21686,1561,431,1561